bank_IDRSSD,name,doc_id,event_date,t0,CAR,alpha,beta,n_est,delisted_flag,S,S_norm,n_design,char_quarter,char_lookahead,filing_type,uninsured_share,size,ROA,NPL_ratio,equity_ratio,deposit_reliance,failed
816603,"WASHINGTON TRUST COMPANY, OF WESTERLY, THE",1,2022-01-20,2022-01-20,0.03236489582612098,0.00037390348585996324,0.906860297034835,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.25821200511879716,15.581955296126383,0.013295172766989776,0.003299271081567876,0.09807781788021849,0.9454937881200343,False
130541,HORIZON BANK,1,2022-01-20,2022-01-20,-0.042946612870499085,0.0001246267399422564,1.0879585232085671,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.4230847113950081,15.808586695787085,0.01253517272656905,0.004650156537310813,0.10780774568578777,0.8945966004737153,False
701062,CENTRAL PACIFIC BANK,1,2022-01-20,2022-01-20,0.008725002254622492,0.0007646274025948779,0.9726065539578312,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.38084990977960276,15.817972238330883,0.011540152185664135,0.0014189509478608003,0.08627337366489238,0.9839067281111438,False
802866,SILICON VALLEY BANK,1,2022-01-20,2022-01-20,-0.09726432969515242,0.0003764719264324724,1.7698230423931796,200,False,0.1231,0.0243,65,2021-12-31,False,031,0.8474972705570153,19.15583801296937,0.00620382489296724,0.0012674462466993588,0.07093167642306826,0.987847419318217,True
509811,"COMMUNITY TRUST BANK, INC.",1,2022-01-20,2022-01-20,0.013337543526777275,0.00015051290493477314,0.7833430289662845,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.2510537678862629,15.499032042254411,0.016225510188162876,0.004873301489544753,0.13271373821521246,0.9323347942531396,False
208244,OLD NATIONAL BANK,1,2022-01-20,2022-01-20,-0.01439925638217104,-0.0004082715468004385,0.9055255449314317,200,False,0.1231,0.0243,65,2021-12-31,False,031,0.36158009970385446,17.00821114068989,0.011961513352839145,0.008079603423052197,0.12538233281291464,0.8768942130746581,False
4114567,FIRST REPUBLIC BANK,1,2022-01-20,2022-01-20,-0.02520983005830695,0.0005546387265007246,1.1198399346916772,200,False,0.1231,0.0243,65,2021-12-31,False,031,0.735068867127675,19.014489290872792,0.008162453925721501,0.0010269791386924739,0.08778985599143008,0.9463141348453866,True
5210,ACNB BANK,1,2022-01-20,2022-01-20,-0.0322357171656847,0.00027528457377970955,0.5096609849179373,200,False,0.1231,0.0243,65,2021-12-31,False,051,0.2720878512260935,14.835326362100108,0.010009074239978303,0.004228828657301002,0.09629045358216082,0.9742291678057358,False
3938186,"BANKUNITED, NATIONAL ASSOCIATION",1,2022-01-20,2022-01-20,0.014078484599978874,-0.0007093955491689968,1.4970144930303706,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.670576859592601,17.390256486974533,0.01276908893635472,0.0394221717073385,0.0971019280547509,0.9196586748085849,False
680813,"FARMERS NATIONAL BANK OF CANFIELD, THE",1,2022-01-20,2022-01-20,-0.025891283690968103,0.001093753256203049,0.7019045334936355,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.34837248779946306,15.23249124077649,0.012129519900849721,0.006934117958359327,0.10999605299652238,0.9914016877906091,False
785923,LCNB NATIONAL BANK,1,2022-01-20,2022-01-20,0.03590376929857971,0.0006221784767910726,0.7795715411434466,200,False,0.1231,0.0243,65,2021-12-31,False,051,0.24649948817902198,14.457321285310604,0.011164166032428768,0.0011223524858610604,0.12340058886751955,0.9783898450104385,False
